elevation (ft),volume (mg),fraction full
527.85,395560.0,0.959538133
527.86,395636.0,0.959722492
527.85,395560.0,0.959538133
527.8,395180.0,0.95861634
527.93,396168.0,0.961013002
527.91,396016.0,0.960644285
527.89,395864.0,0.960275568
527.87,395712.0,0.95990685
527.85,395560.0,0.959538133
527.82,395332.0,0.958985057
527.82,395332.0,0.958985057
527.79,395104.0,0.958431981
528.05,397085.0,0.963237435
528.07,397239.0,0.963611003
528.06,397162.0,0.963424219
528.05,397085.0,0.963237435
528.06,397162.0,0.963424219
528.05,397085.0,0.963237435
528.03,396931.0,0.962863866
528.0,396700.0,0.962303513
527.93,396168.0,0.961013002
527.93,396168.0,0.961013002
527.9,395940.0,0.960459926
527.85,395560.0,0.959538133
527.84,395484.0,0.959353775
527.83,395408.0,0.959169416
527.79,395104.0,0.958431981
527.76,394876.0,0.957878905
527.74,394724.0,0.957510188
527.71,394496.0,0.956957112
527.67,394192.0,0.956219678
527.61,393736.0,0.955113526
527.57,393432.0,0.954376092
527.56,393356.0,0.954191733
527.57,393432.0,0.954376092
527.52,393052.0,0.953454298
527.5,392900.0,0.953085581
527.43,392368.0,0.951795071
527.34,391684.0,0.950135843
527.3,391380.0,0.949398409
527.26,391076.0,0.948660974
527.23,390848.0,0.948107898
527.18,390468.0,0.947186105
527.13,390088.0,0.946264312
527.22,390772.0,0.94792354
527.17,390392.0,0.947001747
527.16,390316.0,0.946817388
527.15,390240.0,0.946633029
527.08,389708.0,0.945342519
527.04,389404.0,0.944605084
527.0,389100.0,0.94386765
527.05,389480.0,0.944789443
526.99,389025.0,0.943685717
526.96,388800.0,0.943139918
526.93,388575.0,0.94259412
526.88,388200.0,0.941684456
526.85,387975.0,0.941138657
526.84,387900.0,0.940956724
526.78,387450.0,0.939865127
526.76,387300.0,0.939501261
526.7,386850.0,0.938409664
526.64,386400.0,0.937318067
526.58,385950.0,0.93622647
526.54,385650.0,0.935498739
526.5,385350.0,0.934771007
526.46,385050.0,0.934043276
526.42,384750.0,0.933315544
526.49,385275.0,0.934589074
526.44,384900.0,0.93367941
526.39,384525.0,0.932769746
526.38,384450.0,0.932587813
526.31,383925.0,0.931314283
526.25,383475.0,0.930222686
526.22,383250.0,0.929676887
526.18,382950.0,0.928949156
526.16,382800.0,0.92858529
526.11,382425.0,0.927675626
526.09,382275.0,0.92731176
526.06,382050.0,0.926765962
526.03,381825.0,0.926220163
526.05,381975.0,0.926584029
526.02,381750.0,0.92603823
525.99,381525.0,0.925492432
525.97,381375.0,0.925128566
525.93,381075.0,0.924400834
525.89,380775.0,0.923673103
525.87,380625.0,0.923309237
525.86,380550.0,0.923127304
525.84,380400.0,0.922763439
525.8,380100.0,0.922035707
525.75,379725.0,0.921126043
525.72,379500.0,0.920580245
525.68,379200.0,0.919852513
525.64,378900.0,0.919124782
525.61,378675.0,0.918578983
525.57,378375.0,0.917851252
525.53,378075.0,0.91712352
525.49,377775.0,0.916395789
525.49,377775.0,0.916395789
525.43,377325.0,0.915304192
525.4,377100.0,0.914758393
525.37,376875.0,0.914212595
525.44,377400.0,0.915486125
525.38,376950.0,0.914394527
525.41,377175.0,0.914940326
525.38,376950.0,0.914394527
525.34,376650.0,0.913666796
525.4,377100.0,0.914758393
525.37,376875.0,0.914212595
525.32,376500.0,0.91330293
525.3,376350.0,0.912939065
525.28,376200.0,0.912575199
525.27,376125.0,0.912393266
525.23,375825.0,0.911665535
525.2,375600.0,0.911119736
525.17,375375.0,0.910573938
525.13,375075.0,0.909846206
525.11,374925.0,0.90948234
525.08,374700.0,0.908936542
525.1,374850.0,0.909300408
525.09,374775.0,0.909118475
525.07,374625.0,0.908754609
525.09,374775.0,0.909118475
525.07,374625.0,0.908754609
525.04,374400.0,0.90820881
525.01,374175.0,0.907663012
524.97,373875.0,0.90693528
524.93,373575.0,0.906207549
524.93,373575.0,0.906207549
524.88,373200.0,0.905297885
524.85,372975.0,0.904752086
524.83,372825.0,0.90438822
524.8,372600.0,0.903842422
524.77,372375.0,0.903296623
524.74,372150.0,0.902750825
524.74,372150.0,0.902750825
524.8,372600.0,0.903842422
524.75,372225.0,0.902932758
524.7,371850.0,0.902023093
524.98,373950.0,0.907117213
524.98,373950.0,0.907117213
525.01,374175.0,0.907663012
525.04,374400.0,0.90820881
525.09,374775.0,0.909118475
525.11,374925.0,0.90948234
525.11,374925.0,0.90948234
525.12,375000.0,0.909664273
525.12,375000.0,0.909664273
525.11,374925.0,0.90948234
525.12,375000.0,0.909664273
525.11,374925.0,0.90948234
525.13,375075.0,0.909846206
525.14,375150.0,0.910028139
525.21,375675.0,0.911301669
525.21,375675.0,0.911301669
525.22,375750.0,0.911483602
525.22,375750.0,0.911483602
525.22,375750.0,0.911483602
525.213,375675.0,0.911301669
525.2,375600.0,0.911119736
525.18,375450.0,0.91075587
525.19,375525.0,0.910937803
525.19,375525.0,0.910937803
525.16,375300.0,0.910392005
525.16,375300.0,0.910392005
525.1,374850.0,0.909300408
525.1,374850.0,0.909300408
525.08,374700.0,0.908936542
525.06,374550.0,0.908572676
525.04,374400.0,0.90820881
525.0,374100.0,0.907481079
525.01,374175.0,0.907663012
524.98,373950.0,0.907117213
525.0,374100.0,0.907481079
525.0,374100.0,0.907481079
524.98,373950.0,0.907117213
524.96,373800.0,0.906753348
524.94,373650.0,0.906389482
524.91,373425.0,0.905843683
524.89,373275.0,0.905479818
524.87,373125.0,0.905115952
524.89,373275.0,0.905479818
524.89,373275.0,0.905479818
524.88,373200.0,0.905297885
524.88,373200.0,0.905297885
524.88,373200.0,0.905297885
524.85,372975.0,0.904752086
524.84,372900.0,0.904570153
524.82,372750.0,0.904206288
524.82,372750.0,0.904206288
524.89,373275.0,0.905479818
524.89,373275.0,0.905479818
524.89,373275.0,0.905479818
524.9,373350.0,0.90566175
524.88,373200.0,0.905297885
524.86,373050.0,0.904934019
524.85,372975.0,0.904752086
524.8,372600.0,0.903842422
524.8,372600.0,0.903842422
524.85,372975.0,0.904752086
524.84,372900.0,0.904570153
524.86,373050.0,0.904934019
524.84,372900.0,0.904570153
524.83,372825.0,0.90438822
524.82,372750.0,0.904206288
524.82,372750.0,0.904206288
524.81,372675.0,0.904024355
524.8,372600.0,0.903842422
524.8,372600.0,0.903842422
524.77,372375.0,0.903296623
524.85,372975.0,0.904752086
524.84,372900.0,0.904570153
524.82,372750.0,0.904206288
524.81,372675.0,0.904024355
524.82,372750.0,0.904206288
524.82,372750.0,0.904206288
524.82,372750.0,0.904206288
524.83,372825.0,0.90438822
524.96,373800.0,0.906753348
524.96,373800.0,0.906753348
524.95,373725.0,0.906571415
524.95,373725.0,0.906571415
524.94,373650.0,0.906389482
524.97,373875.0,0.90693528
524.98,373950.0,0.907117213
525.0,374100.0,0.907481079
525.01,374175.0,0.907663012
525.01,374175.0,0.907663012
525.01,374175.0,0.907663012
525.04,374400.0,0.90820881
525.06,374550.0,0.908572676
525.06,374550.0,0.908572676
525.11,374925.0,0.90948234
525.11,374925.0,0.90948234
525.3,376350.0,0.912939065
525.4,377100.0,0.914758393
525.47,377625.0,0.916031923
525.56,378300.0,0.917669319
525.62,378750.0,0.918760916
525.65,378975.0,0.919306715
525.69,379275.0,0.920034446
525.74,379650.0,0.92094411
525.84,380400.0,0.922763439
525.97,381375.0,0.925128566
526.07,382125.0,0.926947894
526.11,382425.0,0.927675626
526.16,382800.0,0.92858529
526.2,383100.0,0.929313022
526.27,383625.0,0.930586552
526.34,384150.0,0.931860082
526.44,384900.0,0.93367941
526.63,386325.0,0.937136134
526.73,387075.0,0.938955463
526.92,388500.0,0.942412187
527.11,389936.0,0.945895595
527.29,391304.0,0.94921405
527.49,392824.0,0.952901223
527.69,394344.0,0.956588395
527.87,395712.0,0.95990685
528.03,396931.0,0.962863866
528.13,397701.0,0.96473171
528.27,398779.0,0.967346691
528.34,399318.0,0.968654182
528.44,400088.0,0.970522026
528.53,400781.0,0.972203086
528.6,401320.0,0.973510576
528.67,401859.0,0.974818067
528.67,401859.0,0.974818067
528.74,402398.0,0.976125558
528.76,402552.0,0.976499127
528.77,402629.0,0.976685911
528.79,402783.0,0.97705948
528.78,402706.0,0.976872696
528.79,402783.0,0.97705948
528.79,402783.0,0.97705948
528.8,402860.0,0.977246264
528.81,402937.0,0.977433049
528.81,402937.0,0.977433049
528.83,403091.0,0.977806618
528.82,403014.0,0.977619833
528.8,402860.0,0.977246264
528.79,402783.0,0.97705948
528.78,402706.0,0.976872696
528.78,402706.0,0.976872696
528.79,402783.0,0.97705948
528.79,402783.0,0.97705948
528.81,402937.0,0.977433049
528.78,402706.0,0.976872696
528.78,402706.0,0.976872696
528.77,402629.0,0.976685911
528.73,402321.0,0.975938774
528.58,401166.0,0.973137008
528.64,401628.0,0.974257714
528.63,401551.0,0.97407093
528.58,401166.0,0.973137008
528.57,401089.0,0.972950223
528.57,401089.0,0.972950223
528.59,401243.0,0.973323792
528.58,401166.0,0.973137008
528.56,401012.0,0.972763439
528.6,401320.0,0.973510576
528.56,401012.0,0.972763439
528.57,401089.0,0.972950223
528.55,401935.0,0.975002426
528.51,400627.0,0.971829517
528.49,400473.0,0.971455948
528.5,400550.0,0.971642732
528.63,401551.0,0.97407093
528.69,402013.0,0.975191636
528.71,402167.0,0.975565205
528.73,402321.0,0.975938774
528.72,402244.0,0.975751989
528.71,402167.0,0.975565205
528.7,402090.0,0.97537842
528.68,401936.0,0.975004852
528.66,401782.0,0.974631283
528.72,402244.0,0.975751989
528.72,402244.0,0.975751989
528.7,402090.0,0.97537842
528.69,402013.0,0.975191636
528.66,401782.0,0.974631283
528.64,401628.0,0.974257714
528.76,402552.0,0.976499127
528.75,402475.0,0.976312342
528.72,402244.0,0.975751989
528.76,402552.0,0.976499127
528.72,402244.0,0.975751989
528.7,402090.0,0.97537842
528.69,402013.0,0.975191636
528.68,401936.0,0.975004852
528.66,401782.0,0.974631283
528.63,401551.0,0.97407093
528.59,401243.0,0.973323792
528.56,401012.0,0.972763439
528.5,400550.0,0.971642732
528.5,400550.0,0.971642732
528.5,400550.0,0.971642732
528.44,400088.0,0.970522026
528.39,399703.0,0.969588104
528.56,401012.0,0.972763439
528.37,399549.0,0.969214535
528.32,399164.0,0.968280613
528.3,399010.0,0.967907044
528.31,399087.0,0.968093829
528.27,398779.0,0.967346691
528.28,398856.0,0.967533476
528.24,398548.0,0.966786338
528.21,398317.0,0.966225985
528.17,398009.0,0.965478847
528.15,397855.0,0.965105278
528.13,397701.0,0.96473171
528.13,397701.0,0.96473171
528.11,397547.0,0.964358141
528.08,397316.0,0.963797788
528.04,397008.0,0.96305065
528.0,396700.0,0.962303513
527.96,396396.0,0.961566078
527.93,396168.0,0.961013002
527.89,395864.0,0.960275568
527.85,395560.0,0.959538133
527.83,395408.0,0.959169416
527.81,395256.0,0.958800699
527.81,395256.0,0.958800699
527.65,394040.0,0.955850961
527.6,393660.0,0.954929167
527.54,393204.0,0.953823016
527.47,392672.0,0.952532505
527.4,392140.0,0.951241995
527.32,391532.0,0.949767126
527.6,393660.0,0.954929167
527.58,393508.0,0.95456045
527.53,393128.0,0.953638657
527.47,392672.0,0.952532505
527.43,392368.0,0.951795071
527.31,391456.0,0.949582767
527.31,391456.0,0.949582767
527.3,391380.0,0.949398409
527.25,391000.0,0.948476616
527.19,390544.0,0.947370464
527.21,390696.0,0.947739181
527.14,390164.0,0.946448671
527.08,389708.0,0.945342519
527.0,389100.0,0.94386765
526.98,388950.0,0.943503784
526.94,388650.0,0.942776053
526.9,388350.0,0.942048321
526.86,388050.0,0.94132059
526.79,387525.0,0.94004706
526.76,387300.0,0.939501261
526.72,387000.0,0.93877353
526.65,386475.0,0.9375
526.57,385875.0,0.936044537
526.5,385350.0,0.934771007
526.4,384600.0,0.932951679
526.44,384900.0,0.93367941
526.4,384600.0,0.932951679
526.29,383775.0,0.930950417
526.22,383250.0,0.929676887
526.15,382725.0,0.928403357
526.09,382275.0,0.92731176
526.09,382275.0,0.92731176
526.1,382350.0,0.927493693
526.02,381750.0,0.92603823
525.97,381375.0,0.925128566
525.9,380850.0,0.923855036
525.86,380550.0,0.923127304
525.81,380175.0,0.92221764
525.8,380100.0,0.922035707
525.75,379725.0,0.921126043
525.67,379050.0,0.919488647
525.67,379050.0,0.919488647
525.62,378750.0,0.918760916
525.55,378225.0,0.917487386
525.51,377925.0,0.916759655
525.46,377550.0,0.91584999
525.4,377100.0,0.914758393
